"","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","COMPANY"
"1","",48,"M",2,NA,4,NA,NA,4,2,NA,NA,2,NA,NA,3,NA,"Developer",48,"50 or more","Male","11-20",5,2,5,3,4,4,4,4,4,4,"Yes, actively",4,3,5,3,3,3,"Ericsson"
"2","",60,"M",2,4,2,2,4,2,2,4,4,5,NA,NA,2,2,"Manager",60,"41-50","Male","11-20",3,5,2,2,3,2,3,4,2,2,"Never",5,2,5,2,5,3,"Ericsson"
"3","",12,"M",3,4,3,3,3,4,1,2,2,2,NA,NA,NA,NA,"Developer",12,"31-40","Male","11-20",5,2,3,3,4,4,NA,NA,NA,4,"Occasionally",4,4,4,4,4,4,"Ericsson"
"4","system architecture",36,"M",3,4,3,3,3,4,2,3,4,1,3,3,2,2,"Developer",36,"41-50","Male","11-20",5,3,4,4,4,5,4,NA,4,4,"Yes, actively",3,4,4,4,2,4,"Ericsson"
"5","",NA,"M",1,1,1,1,5,1,5,5,5,2,4,5,4,3,"Developer",NA,"31-40","Male","11-20",3,5,2,2,2,2,3,3,3,2,"Occasionally",1,5,1,4,1,4,"Ericsson"
"6","Team Coach",60,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",60,"31-40",NA,"6-10",4,5,4,2,2,3,3,4,3,3,"Yes, actively",5,2,5,4,5,3,"Ericsson"
"7","",7,"M",5,5,4,5,1,4,5,1,2,1,2,4,3,2,"Manager",7,"31-40","Male",NA,4,4,4,3,4,3,3,3,2,3,"Occasionally",3,5,3,5,5,5,"Ericsson"
"8","",36,"F",1,5,2,2,4,3,1,1,4,1,1,1,3,2,"UX designer",36,"41-50","Female","3-5",5,1,4,5,5,5,4,5,4,5,"Yes, actively",4,5,4,5,2,4,"Ericsson"
"9","Customer Service Manager",12,"M",2,4,3,2,4,3,1,2,3,1,1,4,3,3,"Manager",12,"41-50","Male","6-10",5,1,5,4,4,4,5,4,4,5,"Yes, actively",4,2,4,2,4,1,"Ericsson"
"10","",36,"M",3,5,2,4,3,4,1,3,2,2,2,4,2,3,"Developer",36,"41-50","Male","3-5",3,4,2,1,1,1,2,2,2,5,"Yes, actively",4,4,4,4,4,3,"Ericsson"
"11","",24,"F",1,5,1,1,5,4,NA,2,4,2,1,1,1,NA,"UX designer",24,"50 or more","Female","3-5",4,5,4,4,4,4,NA,5,4,4,"Occasionally",5,5,5,5,5,4,"Ericsson"
"12","",24,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Developer",24,"21-30",NA,"11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,"Ericsson"
"13","",24,"M",2,4,3,2,4,2,2,2,2,2,1,4,2,2,"Manager",24,"31-40","Male","6-10",5,4,2,3,4,4,4,5,3,3,"Yes, actively",5,5,3,4,5,3,"Ericsson"
"14","",24,"M",2,5,2,2,5,4,1,4,4,NA,NA,NA,NA,NA,"Manager",24,"31-40","Male","6-10",3,NA,2,NA,3,NA,NA,NA,2,2,"Occasionally",NA,NA,NA,NA,4,2,"Ericsson"
"15","Product Owner",5,"M",2,5,1,2,4,3,4,2,4,1,2,4,2,2,"Manager",5,"31-40","Male","6-10",4,5,3,2,4,3,4,3,3,5,"Yes, actively",4,5,4,5,5,1,"Ericsson"
"16","",36,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developer",36,"41-50","Male","3-5",2,4,1,2,2,2,NA,NA,1,1,"Occasionally",4,2,4,4,3,3,"Ericsson"
"17","",36,"M",2,4,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,"Manager",36,"50 or more","Male","6-10",4,3,2,2,3,3,4,4,2,2,"Occasionally",NA,NA,4,4,4,4,"Ericsson"
"18","Customer Support",36,"M",2,5,4,2,5,2,2,2,2,2,3,5,2,2,"Other",36,"41-50","Male","6-10",5,3,5,5,5,5,NA,NA,NA,5,"Occasionally",5,2,5,2,5,2,"Ericsson"
"19","",3,"M",1,5,3,2,3,5,3,3,4,3,2,3,2,2,"Developer",3,"50 or more","Male","6-10",3,5,1,2,2,2,NA,NA,1,1,NA,4,3,4,4,3,3,"Ericsson"
"20","Project delivery",108,"M",2,5,2,2,5,4,2,2,4,2,2,4,2,2,"Other",108,"41-50","Male","11-20",5,2,5,4,2,4,2,5,4,5,"Yes, actively",5,2,5,4,5,2,"Ericsson"
"21","",24,"M",2,5,1,1,5,3,1,3,1,4,3,5,2,2,"Developer",24,"21-30","Male","11-20",5,1,5,3,4,3,2,2,2,5,"Never",5,2,4,3,4,3,"Ericsson"
"22","",36,"M",5,5,4,3,2,4,5,1,4,2,1,5,2,1,"Developer",36,"31-40","Male","3-5",2,5,2,4,3,3,3,5,2,3,"Rarely",3,5,4,5,5,5,"Ericsson"
"23","",36,"M",1,5,1,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,"Developer",36,"41-50","Male","6-10",5,5,2,3,4,4,4,4,3,3,NA,5,1,4,2,2,4,"Ericsson"
"24","",60,"M",1,5,1,1,5,NA,2,2,4,1,2,2,4,NA,"Developer",60,"50 or more","Male","6-10",4,5,3,4,NA,NA,4,4,4,4,"Yes, actively",5,5,4,4,4,2,"Ericsson"
"25","",12,"F",2,4,2,2,4,4,3,3,3,4,3,3,NA,3,"Developer",12,"31-40","Female","11-20",4,4,2,3,3,3,NA,NA,NA,3,NA,5,2,4,4,3,4,"Ericsson"
