"","SUBTIME","JOBFUNC","JOBFUNCOTHER","JOBTIME","GENDER","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","ROLE","worktime","age_range","gender","team_size","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","condexp","3.3A","3.3B","3.3C","3.3D","3.3E","3.3F","M1","M2","M3","M4","COMPANY"
"1","7.11.16 10:28",5,"",48,"M",2,NA,4,NA,NA,4,2,NA,NA,2,NA,NA,3,NA,"Developer",48,"50 or more","Male","11-20",5,2,5,3,4,4,4,4,4,4,"Yes, actively",4,3,5,3,3,3,2,2,2,3,"Ericsson"
"2","7.11.16 11:06",3,"",60,"M",2,4,2,2,4,2,2,4,4,5,NA,NA,2,2,"Manager",60,"41-50","Male","11-20",3,5,2,2,3,2,3,4,2,2,"Never",5,2,5,2,5,3,3,2,2,3,"Ericsson"
"3","7.11.16 11:14",4,"",12,"M",3,4,3,3,3,4,1,2,2,2,NA,NA,NA,NA,"Developer",12,"31-40","Male","11-20",5,2,3,3,4,4,NA,NA,NA,4,"Occasionally",4,4,4,4,4,4,3,2,1,1,"Ericsson"
"4","7.11.16 11:36",6,"system architecture",36,"M",3,4,3,3,3,4,2,3,4,1,3,3,2,2,"Developer",36,"41-50","Male","11-20",5,3,4,4,4,5,4,NA,4,4,"Yes, actively",3,4,4,4,2,4,1,2,3,4,"Ericsson"
"5","7.11.16 12:07",4,"",9999,"M",1,1,1,1,5,1,5,5,5,2,4,5,4,3,"Developer",NA,"31-40","Male","11-20",3,5,2,2,2,2,3,3,3,2,"Occasionally",1,5,1,4,1,4,4,2,2,3,"Ericsson"
"6","7.11.16 13:23",6,"Team Coach",60,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",60,"31-40",NA,"6-10",4,5,4,2,2,3,3,4,3,3,"Yes, actively",5,2,5,4,5,3,3,1,1,3,"Ericsson"
"7","7.11.16 13:26",3,"",7,"M",5,5,4,5,1,4,5,1,2,1,2,4,3,2,"Manager",7,"31-40","Male",NA,4,4,4,3,4,3,3,3,2,3,"Occasionally",3,5,3,5,5,5,4,1,3,4,"Ericsson"
"8","7.11.16 14:14",2,"",36,"F",1,5,2,2,4,3,1,1,4,1,1,1,3,2,"UX designer",36,"41-50","Female","3-5",5,1,4,5,5,5,4,5,4,5,"Yes, actively",4,5,4,5,2,4,4,3,4,3,"Ericsson"
"9","7.11.16 14:48",6,"Customer Service Manager",12,"M",2,4,3,2,4,3,1,2,3,1,1,4,3,3,"Manager",12,"41-50","Male","6-10",5,1,5,4,4,4,5,4,4,5,"Yes, actively",4,2,4,2,4,1,1,3,3,1,"Ericsson"
"10","7.11.16 16:11",1,"",36,"M",3,5,2,4,3,4,1,3,2,2,2,4,2,3,"Developer",36,"41-50","Male","3-5",3,4,2,1,1,1,2,2,2,5,"Yes, actively",4,4,4,4,4,3,3,1,1,2,"Ericsson"
"11","8.11.16 15:06",2,"",24,"F",1,5,1,1,5,4,NA,2,4,2,1,1,1,NA,"UX designer",24,"50 or more","Female","3-5",4,5,4,4,4,4,NA,5,4,4,"Occasionally",5,5,5,5,5,4,4,2,3,4,"Ericsson"
"12","18.11.16 09:41",4,"",24,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Developer",24,"31-40",NA,"11-20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,"Ericsson"
