"","SUBTIME","JOBFUNCOTHER","GENDER","ROLE","age_range","gender","team_size","condexp","COMPANY","INVA","INVB","INVC","INVD","INVE","INVF","INVG","INVH","INVI","INVJ","INVK","INVL","INVM","INVN","USERA","USERB","USERC","USERD","USERE","USERF","INF.MNG","INF.UX","INF.DEV","INF.SLF","X3.3A","X3.3B","X3.3C","X3.3D","X3.3E","X3.3F","WORKTIM"
"1","7.11.16 10:28","","M","Developer","50 or more","Male","11-20","Yes, actively","Ericsson","disagree",NA,"agree",NA,NA,"agree","disagree",NA,NA,"disagree",NA,NA,"indecisive",NA,"agree","disagree","agree","indecisive","agree","agree","agree","agree","agree","agree","agree","indecisive","agree","indecisive","indecisive","indecisive","5 year"
"2","7.11.16 11:06","","M","Manager","41-50","Male","11-20","Never","Ericsson","disagree","agree","disagree","disagree","agree","disagree","disagree","agree","agree","agree",NA,NA,"disagree","disagree","indecisive","agree","disagree","disagree","indecisive","disagree","indecisive","agree","disagree","disagree","agree","disagree","agree","disagree","agree","indecisive","5 year"
"3","7.11.16 11:14","","M","Developer","31-40","Male","11-20","Occasionally","Ericsson","indecisive","agree","indecisive","indecisive","indecisive","agree","disagree","disagree","disagree","disagree",NA,NA,NA,NA,"agree","disagree","indecisive","indecisive","agree","agree",NA,NA,NA,"agree","agree","agree","agree","agree","agree","agree","1 year"
"4","7.11.16 11:36","system architecture","M","Developer","41-50","Male","11-20","Yes, actively","Ericsson","indecisive","agree","indecisive","indecisive","indecisive","agree","disagree","indecisive","agree","disagree","indecisive","indecisive","disagree","disagree","agree","indecisive","agree","agree","agree","agree","agree",NA,"agree","agree","indecisive","agree","agree","agree","disagree","agree","5 year"
"5","7.11.16 12:07","","M","Developer","31-40","Male","11-20","Occasionally","Ericsson","disagree","disagree","disagree","disagree","agree","disagree","agree","agree","agree","disagree","agree","agree","agree","indecisive","indecisive","agree","disagree","disagree","disagree","disagree","indecisive","indecisive","indecisive","disagree","disagree","agree","disagree","agree","disagree","agree",NA
"6","7.11.16 13:23","Team Coach",NA,"Other","31-40",NA,"6-10","Yes, actively","Ericsson","agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agree","agree","agree","disagree","disagree","indecisive","indecisive","agree","indecisive","indecisive","agree","disagree","agree","agree","agree","indecisive","5 year"
"7","7.11.16 13:26","","M","Manager","31-40","Male",NA,"Occasionally","Ericsson","agree","agree","agree","agree","disagree","agree","agree","disagree","disagree","disagree","disagree","agree","indecisive","disagree","agree","agree","agree","indecisive","agree","indecisive","indecisive","indecisive","disagree","indecisive","indecisive","agree","indecisive","agree","agree","agree","1 year"
"8","7.11.16 14:14","","F","UX designer","41-50","Female","3-5","Yes, actively","Ericsson","disagree","agree","disagree","disagree","agree","indecisive","disagree","disagree","agree","disagree","disagree","disagree","indecisive","disagree","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","5 year"
"9","7.11.16 14:48","Customer Service Manager","M","Manager","41-50","Male","6-10","Yes, actively","Ericsson","disagree","agree","indecisive","disagree","agree","indecisive","disagree","disagree","indecisive","disagree","disagree","agree","indecisive","indecisive","agree","disagree","agree","agree","agree","agree","agree","agree","agree","agree","agree","disagree","agree","disagree","agree","disagree","1 year"
"10","7.11.16 16:11","","M","Developer","41-50","Male","3-5","Yes, actively","Ericsson","indecisive","agree","disagree","agree","indecisive","agree","disagree","indecisive","disagree","disagree","disagree","agree","disagree","indecisive","indecisive","agree","disagree","disagree","disagree","disagree","disagree","disagree","disagree","agree","agree","agree","agree","agree","agree","indecisive","5 year"
